SEASON_ID,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FT_PCT,FG3_PCT,PLUS_MINUS,IS_HOME,LAST5_PTS,LAST5_REB,LAST5_AST,LAST5_STL,LAST5_BLK,LAST5_TOV,LAST5_FG_PCT,LAST5_FT_PCT,LAST5_FG3_PCT,LAST5_PLUS_MINUS
22017,0021700060,2017-10-25 00:00:00,1610612760,20,1200,1,114,49,26,8,8,21,0.483,0.692,0.37,18,1,101.66666666666667,38.333333333333336,22.333333333333332,12.333333333333334,5.666666666666667,16.0,0.4406666666666667,0.6613333333333333,0.32566666666666666,3.3333333333333335
22017,0021700055,2017-10-25 00:00:00,1610612743,7,409,0,93,51,18,6,1,14,0.38,0.6,0.258,-17,0,98.66666666666667,46.666666666666664,24.333333333333332,5.333333333333333,2.3333333333333335,20.0,0.46366666666666667,0.7666666666666666,0.3873333333333333,0.6666666666666666
22017,0021700069,2017-10-26 00:00:00,1610612740,18,1068,1,114,47,22,5,3,15,0.488,0.739,0.406,8,0,105.75,46.25,21.0,7.75,7.0,18.0,0.45,0.732,0.33425,-5.75
22017,0021700068,2017-10-26 00:00:00,1610612757,24,1433,0,103,44,19,5,4,10,0.393,0.864,0.452,-1,1,112.75,53.25,19.0,7.5,6.5,15.25,0.442,0.81375,0.44875,18.25
22017,0021700067,2017-10-26 00:00:00,1610612738,2,131,1,96,45,21,7,4,16,0.423,0.864,0.367,7,0,102.75,46.25,22.25,9.5,4.5,15.0,0.437,0.69675,0.36775,5.0
22017,0021700068,2017-10-26 00:00:00,1610612746,12,719,1,104,46,11,4,5,12,0.468,0.639,0.321,1,0,113.33333333333333,51.666666666666664,23.333333333333332,12.0,3.0,13.333333333333334,0.4693333333333333,0.7743333333333333,0.39033333333333337,25.333333333333332
22017,0021700065,2017-10-26 00:00:00,1610612741,4,261,1,91,62,20,5,4,16,0.36,0.759,0.219,5,1,96.33333333333333,42.0,22.666666666666668,4.333333333333333,3.3333333333333335,17.0,0.42366666666666664,0.8376666666666667,0.3713333333333333,-11.333333333333334
22017,0021700069,2017-10-26 00:00:00,1610612758,25,1497,0,106,34,25,7,5,13,0.469,0.92,0.35,-8,1,96.75,43.75,18.25,8.0,3.0,14.0,0.42525,0.7184999999999999,0.389,-4.75
22017,0021700065,2017-10-26 00:00:00,1610612737,0,3,0,86,40,22,10,5,10,0.395,0.846,0.393,-5,0,101.25,44.25,18.5,9.25,3.25,15.75,0.426,0.8380000000000001,0.351,-8.75
22017,0021700067,2017-10-26 00:00:00,1610612749,16,959,0,89,37,22,6,3,17,0.455,0.571,0.44,-7,1,105.25,38.0,22.0,8.0,4.5,14.25,0.48975,0.8185,0.34550000000000003,0.25
22017,0021700066,2017-10-26 00:00:00,1610612763,14,847,1,96,46,18,7,6,18,0.411,0.867,0.294,5,1,101.5,39.75,17.25,7.25,4.0,14.0,0.444,0.73525,0.34575,5.25
22017,0021700066,2017-10-26 00:00:00,1610612742,6,361,0,91,53,20,10,3,14,0.34,0.85,0.294,-5,0,99.2,39.0,21.2,7.2,3.0,13.0,0.42119999999999996,0.7245999999999999,0.3726,-9.6
22017,0021700071,2017-10-27 00:00:00,1610612753,21,1272,1,114,45,22,9,7,18,0.571,0.5,0.478,27,1,119.0,46.0,25.0,8.0,5.75,15.0,0.4805,0.83775,0.44,6.75
22017,0021700073,2017-10-27 00:00:00,1610612751,1,76,0,86,35,18,5,1,16,0.4,0.714,0.367,-21,0,121.2,45.8,22.8,10.2,4.6,16.8,0.4593999999999999,0.7784,0.3648,1.8
22017,0021700076,2017-10-27 00:00:00,1610612761,27,1579,1,101,40,27,12,4,14,0.43,0.7,0.241,9,0,113.5,44.0,24.0,9.0,6.0,15.75,0.45599999999999996,0.8765000000000001,0.312,10.5
